config_name,seed,steps_to_target,target_reached,sigma_mean,sigma_std,adaptive_process_noise,adaptive_measurement_noise,signal_max,method
Coupled EKF,60,116028,True,0.9645156436194867,0.11806081295109855,True,False,10,Coupled EKF
Adaptive EKF,68,27272,True,1.0,0.0,False,True,10,Adaptive EKF
Coupled EKF,70,14296,True,0.8997454121768106,0.1889163735673223,True,False,10,Coupled EKF
Standard EKF,71,1422,True,1.0,0.0,False,False,10,Standard EKF
Coupled EKF,71,2280,True,0.6224157788955174,0.24146899491509952,True,False,10,Coupled EKF
Adaptive EKF,70,17336,True,1.0,0.0,False,True,10,Adaptive EKF
Standard EKF,72,4778,True,1.0,0.0,False,False,10,Standard EKF
Coupled EKF,72,828,True,0.7592221043848817,0.25095787477375225,True,False,10,Coupled EKF
Adaptive EKF,55,225994,True,1.0,0.0,False,True,10,Adaptive EKF
Adaptive EKF,71,15205,True,1.0,0.0,False,True,10,Adaptive EKF
Adaptive EKF,72,5064,True,1.0,0.0,False,True,10,Adaptive EKF
Coupled EKF,73,1039,True,0.7091036532459158,0.26939102316632135,True,False,10,Coupled EKF
Adaptive EKF,73,9044,True,1.0,0.0,False,True,10,Adaptive EKF
Standard EKF,67,108442,True,1.0,0.0,False,False,10,Standard EKF
Standard EKF,62,194881,True,1.0,0.0,False,False,10,Standard EKF
Standard EKF,68,136450,True,1.0,0.0,False,False,10,Standard EKF
Coupled EKF,75,1401,True,0.8088036932392795,0.1991514932433748,True,False,10,Coupled EKF
Adaptive EKF,75,1051,True,1.0,0.0,False,True,10,Adaptive EKF
Standard EKF,70,114851,True,1.0,0.0,False,False,10,Standard EKF
Standard EKF,75,14104,True,1.0,0.0,False,False,10,Standard EKF
Adaptive EKF,76,18149,True,1.0,0.0,False,True,10,Adaptive EKF
Standard EKF,73,95163,True,1.0,0.0,False,False,10,Standard EKF
Standard EKF,76,40813,True,1.0,0.0,False,False,10,Standard EKF
Adaptive EKF,77,1711,True,1.0,0.0,False,True,10,Adaptive EKF
Standard EKF,78,863,True,1.0,0.0,False,False,10,Standard EKF
Coupled EKF,76,36328,True,0.9477666098600823,0.14789859307219072,True,False,10,Coupled EKF
Coupled EKF,78,1788,True,0.7049338325345025,0.25865160945661736,True,False,10,Coupled EKF
Adaptive EKF,78,2010,True,1.0,0.0,False,True,10,Adaptive EKF
Standard EKF,77,29068,True,1.0,0.0,False,False,10,Standard EKF
Adaptive EKF,79,889,True,1.0,0.0,False,True,10,Adaptive EKF
Adaptive EKF,74,97717,True,1.0,0.0,False,True,10,Adaptive EKF
Coupled EKF,77,29831,True,0.9426379250092402,0.1461320645940979,True,False,10,Coupled EKF
Standard EKF,74,128635,True,1.0,0.0,False,False,10,Standard EKF
Adaptive EKF,80,5656,True,1.0,0.0,False,True,10,Adaptive EKF
Standard EKF,60,299960,True,1.0,0.0,False,False,10,Standard EKF
Standard EKF,81,13961,True,1.0,0.0,False,False,10,Standard EKF
Coupled EKF,79,31727,True,0.9724816600200988,0.1129456864721369,True,False,10,Coupled EKF
Coupled EKF,81,14744,True,0.950977343371743,0.14932136234742613,True,False,10,Coupled EKF
Adaptive EKF,82,1847,True,1.0,0.0,False,True,10,Adaptive EKF
Standard EKF,54,407795,True,1.0,0.0,False,False,10,Standard EKF
Coupled EKF,83,760,True,0.7230315998923047,0.2656183702842704,True,False,10,Coupled EKF
Standard EKF,82,19227,True,1.0,0.0,False,False,10,Standard EKF
Adaptive EKF,83,9693,True,1.0,0.0,False,True,10,Adaptive EKF
Coupled EKF,84,617,True,0.7861492550594963,0.22432902056028575,True,False,10,Coupled EKF
Adaptive EKF,84,1120,True,1.0,0.0,False,True,10,Adaptive EKF
Standard EKF,85,1947,True,1.0,0.0,False,False,10,Standard EKF
Adaptive EKF,81,31037,True,1.0,0.0,False,True,10,Adaptive EKF
Coupled EKF,85,2117,True,0.8397194513915078,0.21515547988195316,True,False,10,Coupled EKF
Adaptive EKF,85,2248,True,1.0,0.0,False,True,10,Adaptive EKF
Coupled EKF,86,1607,True,0.8428534998689088,0.20069980635403517,True,False,10,Coupled EKF
Adaptive EKF,86,10001,True,1.0,0.0,False,True,10,Adaptive EKF
Standard EKF,83,63490,True,1.0,0.0,False,False,10,Standard EKF
Standard EKF,87,24557,True,1.0,0.0,False,False,10,Standard EKF
Coupled EKF,87,541,True,0.7983620877623762,0.22779773111437407,True,False,10,Coupled EKF
Adaptive EKF,87,2128,True,1.0,0.0,False,True,10,Adaptive EKF
Coupled EKF,74,195547,True,0.9831630954150945,0.08243005702934994,True,False,10,Coupled EKF
Adaptive EKF,88,1266,True,1.0,0.0,False,True,10,Adaptive EKF
Standard EKF,79,109921,True,1.0,0.0,False,False,10,Standard EKF
Coupled EKF,89,864,True,0.7988112255111195,0.23554905212020494,True,False,10,Coupled EKF
Standard EKF,89,14308,True,1.0,0.0,False,False,10,Standard EKF
Standard EKF,84,67747,True,1.0,0.0,False,False,10,Standard EKF
Adaptive EKF,89,15894,True,1.0,0.0,False,True,10,Adaptive EKF
Adaptive EKF,90,1610,True,1.0,0.0,False,True,10,Adaptive EKF
Coupled EKF,80,131608,True,0.9767901506320131,0.09992230162553419,True,False,10,Coupled EKF
Standard EKF,90,45221,True,1.0,0.0,False,False,10,Standard EKF
Adaptive EKF,30,815171,True,1.0,0.0,False,True,10,Adaptive EKF
Standard EKF,80,178827,True,1.0,0.0,False,False,10,Standard EKF
Standard EKF,91,64528,True,1.0,0.0,False,False,10,Standard EKF
Adaptive EKF,92,1983,True,1.0,0.0,False,True,10,Adaptive EKF
Coupled EKF,88,123761,True,0.9626743889158774,0.11528360300727232,True,False,10,Coupled EKF
Coupled EKF,93,1185,True,0.6363002659921667,0.2974836164838883,True,False,10,Coupled EKF
Adaptive EKF,93,1428,True,1.0,0.0,False,True,10,Adaptive EKF
Coupled EKF,90,145925,True,0.9697351187920314,0.10797809422291067,True,False,10,Coupled EKF
Coupled EKF,94,1201,True,0.8431847685191464,0.22367020388283448,True,False,10,Coupled EKF
Standard EKF,88,152092,True,1.0,0.0,False,False,10,Standard EKF
Coupled EKF,91,96527,True,0.9699060889671548,0.10055429512784361,True,False,10,Coupled EKF
Coupled EKF,95,1409,True,0.80806503980582,0.21731305617546395,True,False,10,Coupled EKF
Adaptive EKF,95,1633,True,1.0,0.0,False,True,10,Adaptive EKF
Standard EKF,95,8848,True,1.0,0.0,False,False,10,Standard EKF
Standard EKF,96,968,True,1.0,0.0,False,False,10,Standard EKF
Adaptive EKF,46,726349,True,1.0,0.0,False,True,10,Adaptive EKF
Adaptive EKF,96,687,True,1.0,0.0,False,True,10,Adaptive EKF
Coupled EKF,97,1010,True,0.76732569247338,0.24927282827795594,True,False,10,Coupled EKF
Standard EKF,97,2459,True,1.0,0.0,False,False,10,Standard EKF
Adaptive EKF,97,10348,True,1.0,0.0,False,True,10,Adaptive EKF
Standard EKF,98,23845,True,1.0,0.0,False,False,10,Standard EKF
Adaptive EKF,98,1848,True,1.0,0.0,False,True,10,Adaptive EKF
Standard EKF,86,225777,True,1.0,0.0,False,False,10,Standard EKF
Coupled EKF,99,5991,True,0.820556306810975,0.21626767352208473,True,False,10,Coupled EKF
Adaptive EKF,99,1340,True,1.0,0.0,False,True,10,Adaptive EKF
Standard EKF,93,104987,True,1.0,0.0,False,False,10,Standard EKF
Coupled EKF,100,3193,True,0.6943478703154149,0.24206500713212567,True,False,10,Coupled EKF
Coupled EKF,82,258254,True,0.9921682891911736,0.05765376793364873,True,False,10,Coupled EKF
Adaptive EKF,100,4917,True,1.0,0.0,False,True,10,Adaptive EKF
Coupled EKF,101,1207,True,0.6893643813508594,0.24585753637339525,True,False,10,Coupled EKF
Adaptive EKF,101,2823,True,1.0,0.0,False,True,10,Adaptive EKF
Standard EKF,94,85240,True,1.0,0.0,False,False,10,Standard EKF
Coupled EKF,102,886,True,0.7005084118909634,0.24487935534533137,True,False,10,Coupled EKF
Standard EKF,102,11534,True,1.0,0.0,False,False,10,Standard EKF
Adaptive EKF,94,115022,True,1.0,0.0,False,True,10,Adaptive EKF
Coupled EKF,103,1920,True,0.7790823500954325,0.2717896693477376,True,False,10,Coupled EKF
Adaptive EKF,103,1953,True,1.0,0.0,False,True,10,Adaptive EKF
Adaptive EKF,102,3758,True,1.0,0.0,False,True,10,Adaptive EKF
Coupled EKF,98,83208,True,0.9716708787090366,0.10199832505455002,True,False,10,Coupled EKF
Adaptive EKF,45,925928,True,1.0,0.0,False,True,10,Adaptive EKF
Standard EKF,99,80785,True,1.0,0.0,False,False,10,Standard EKF
Coupled EKF,105,2641,True,0.6149661417731841,0.25637192774431017,True,False,10,Coupled EKF
Standard EKF,105,4627,True,1.0,0.0,False,False,10,Standard EKF
Standard EKF,104,97499,True,1.0,0.0,False,False,10,Standard EKF
Coupled EKF,106,2708,True,0.7576248961040233,0.24110308435660707,True,False,10,Coupled EKF
Adaptive EKF,106,8404,True,1.0,0.0,False,True,10,Adaptive EKF
Standard EKF,107,1318,True,1.0,0.0,False,False,10,Standard EKF
Adaptive EKF,104,44680,True,1.0,0.0,False,True,10,Adaptive EKF
Coupled EKF,92,218655,True,0.9864140123277702,0.06881722412393858,True,False,10,Coupled EKF
Coupled EKF,107,20236,True,0.8892044947793825,0.1896378858464409,True,False,10,Coupled EKF
Coupled EKF,108,1457,True,0.7010262692787405,0.23435479344251095,True,False,10,Coupled EKF
Adaptive EKF,108,1829,True,1.0,0.0,False,True,10,Adaptive EKF
Adaptive EKF,107,20290,True,1.0,0.0,False,True,10,Adaptive EKF
Standard EKF,100,132278,True,1.0,0.0,False,False,10,Standard EKF
Coupled EKF,109,15832,True,0.8836176025949608,0.17869585749475372,True,False,10,Coupled EKF
Standard EKF,109,18152,True,1.0,0.0,False,False,10,Standard EKF
Coupled EKF,110,780,True,0.7763332166680668,0.24376630948631572,True,False,10,Coupled EKF
Standard EKF,110,2229,True,1.0,0.0,False,False,10,Standard EKF
Standard EKF,111,980,True,1.0,0.0,False,False,10,Standard EKF
Standard EKF,106,76350,True,1.0,0.0,False,False,10,Standard EKF
Adaptive EKF,111,2105,True,1.0,0.0,False,True,10,Adaptive EKF
Adaptive EKF,109,25986,True,1.0,0.0,False,True,10,Adaptive EKF
Coupled EKF,112,2771,True,0.6252362707824785,0.23798687183532324,True,False,10,Coupled EKF
Adaptive EKF,110,24278,True,1.0,0.0,False,True,10,Adaptive EKF
Coupled EKF,96,219995,True,0.9881074296337472,0.0648925742852567,True,False,10,Coupled EKF
Standard EKF,112,34915,True,1.0,0.0,False,False,10,Standard EKF
Adaptive EKF,113,2021,True,1.0,0.0,False,True,10,Adaptive EKF
Adaptive EKF,112,33620,True,1.0,0.0,False,True,10,Adaptive EKF
Adaptive EKF,91,330979,True,1.0,0.0,False,True,10,Adaptive EKF
Adaptive EKF,114,2509,True,1.0,0.0,False,True,10,Adaptive EKF
Standard EKF,115,899,True,1.0,0.0,False,False,10,Standard EKF
Standard EKF,114,13254,True,1.0,0.0,False,False,10,Standard EKF
Coupled EKF,114,8287,True,0.8766537323490202,0.18145218667627508,True,False,10,Coupled EKF
Adaptive EKF,115,1246,True,1.0,0.0,False,True,10,Adaptive EKF
Coupled EKF,115,2339,True,0.6484027891877159,0.2524685953921113,True,False,10,Coupled EKF
Adaptive EKF,116,1414,True,1.0,0.0,False,True,10,Adaptive EKF
